,Bearer Id,Start ms,End ms,Dur. (ms),IMSI,MSISDN/Number,IMEI,Avg RTT DL (ms),Avg RTT UL (ms),Avg Bearer TP DL (kbps),Avg Bearer TP UL (kbps),TCP DL Retrans. Vol (Bytes),TCP UL Retrans. Vol (Bytes),DL TP < 50 Kbps (%),50 Kbps < DL TP < 250 Kbps (%),250 Kbps < DL TP < 1 Mbps (%),DL TP > 1 Mbps (%),UL TP < 10 Kbps (%),10 Kbps < UL TP < 50 Kbps (%),50 Kbps < UL TP < 300 Kbps (%),UL TP > 300 Kbps (%),HTTP DL (Bytes),HTTP UL (Bytes),Activity Duration DL (ms),Activity Duration UL (ms),Dur. (ms).1,Nb of sec with 125000B < Vol DL,Nb of sec with 1250B < Vol UL < 6250B,Nb of sec with 31250B < Vol DL < 125000B,Nb of sec with 37500B < Vol UL,Nb of sec with 6250B < Vol DL < 31250B,Nb of sec with 6250B < Vol UL < 37500B,Nb of sec with Vol DL < 6250B,Nb of sec with Vol UL < 1250B,Social Media DL (Bytes),Social Media UL (Bytes),Google DL (Bytes),Google UL (Bytes),Email DL (Bytes),Email UL (Bytes),Youtube DL (Bytes),Youtube UL (Bytes),Netflix DL (Bytes),Netflix UL (Bytes),Gaming DL (Bytes),Gaming UL (Bytes),Other DL (Bytes),Other UL (Bytes),Total UL (Bytes),Total DL (Bytes),total_data,duration_decile
mean,1.013887465425634e+19,499.1882,498.80088,99572.2331,208201516203586.34,33669100328.659195,48474547977654.53,56.42786399502341,10.335803550237747,11112.506171666666,705.5750233333333,2476995.3172904374,57213.10172064777,94.60756330110488,2.239770313641145,0.6410078594544614,0.0,99.3054205845492,0.0,0.0,0.0,16399835.743064778,1020029.741542139,433116.8342825,384144.64562666666,99572797.4983,463.1745039361073,137.2963034304026,498.69000265886734,23.60596546310832,710.9379093444005,21.381649981655222,1699.2155970679282,1581.4965819527104,1795321.7736466667,32928.43438,5750752.619286667,2056541.9262866667,1791728.86802,467373.44194,11634072.5039,11009410.1347,11626851.71874,11001754.81964,422044702.59537333,8288398.110733334,421100544.19449335,8264799.4244266655,41121200.748223335,454643430.0789667,495764636.3710733,1.8819733333333333
median,7.349883264156585e+18,499.0,500.0,86399.0,208201546329113.0,33663706799.0,35722009426311.0,45.0,5.0,63.0,63.0,568730.0,20949.5,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1941949.0,229733.0,39304.5,46793.5,86399983.0,128.0,52.0,164.0,8.0,288.0,8.0,203.0,217.0,1794369.0,32920.0,5765829.0,2054573.0,1793505.0,466250.0,11616019.0,11013447.0,11642217.0,10996384.0,423408104.0,8291208.0,421803006.0,8267071.0,41143312.0,455841077.5,496861101.5,1.0
std,2.893172512268411e+18,288.6118342445999,288.097653200457,59084.718356895195,393245136.57743996,34211644.423641704,22416372027957.56,33.22568191332764,10.886596077733595,17189.77293061196,996.0534432496974,3407186.975181183,71373.5947646528,8.284209311689034,3.5908933742698665,1.0317984430114875,0.0,0.9701328871988825,0.0,0.0,0.0,24249999.289146803,1404238.2512376357,650965.0435179932,562718.0437209717,59084755.43461415,616.1184195371226,171.0312775986469,642.5623431581743,29.420094471966145,880.4187739747045,25.56764988796367,2465.7284472616984,2265.920986042751,1035482.2759530023,19006.17825621309,3309097.0173686827,1189916.9260041018,1035839.5103368211,269969.30703102215,6710568.850189704,6345423.354475547,6725218.026493558,6359489.759474565,243967494.34637824,4782699.656231569,243205009.80815506,4769003.686403115,11269271.269478207,244142874.37628365,244381801.6489674,1.4505552040597727
var,8.370447185745508e+36,83296.79086603242,83000.25777961078,3491003943.3136277,1.546417374418094e+17,1170436614169694.5,5.02493734895798e+26,1103.9459386056276,118.5179741597245,295488293.4059998,992122.4618095781,11608923083844.297,5094190029.628873,68.6281239198753,12.894515225375228,1.06460802700093,0.0,0.9411578188248395,0.0,0.0,0.0,588062465523620.5,1971885066238.933,423755487882.3828,316651596729.1574,3491008324768166.5,379601.9068929218,29251.697917025424,412886.36484492326,865.5419587394128,775137.217567122,653.7047207934888,6079816.775635586,5134397.914988952,1072223543812.8096,361234811.9069473,10950123070358.312,1415902290791.0508,1072963491174.8252,72883426738.8103,45031734293136.37,40264397547523.695,45228557503873.9,40443110000861.87,5.95201382976501e+16,22874216001717.57,5.914867679578479e+16,22743396160926.5,126996474945086.97,5.9605743108713816e+16,5.972246497719523e+16,2.1041104000248887
min,6.91753751854353e+18,0.0,0.0,7142.0,208200845729468.0,33603002800.25,440015202000.0,0.0,0.0,0.0,0.0,2.0,1.0,77.5,0.0,0.0,0.0,97.5,0.0,0.0,0.0,40.0,40.0,0.0,0.0,7142988.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,207.0,3.0,14.0,2.0,53.0,105.0,42.0,35.0,2516.0,59.0,3290.0,148.0,9503668.5,7114041.0,28956107.0,0.0
max,1.31865411671342e+19,999.0,999.0,244914.875,208202327152884.0,33731783550.25,99001201327774.0,127.0,34.5,49212.375,2729.5,9367294.0,203008.5,100.0,10.0,2.5,0.0,100.0,0.0,0.0,0.0,62438653.5,3820584.5,1676707.125,1465428.5,244915777.125,1703.75,492.5,1853.5,84.5,2671.5,73.0,6494.5,5968.5,3586064.0,65870.0,11462832.0,4121357.0,3586146.0,936418.0,23259098.0,22011962.0,23259189.0,22011955.0,843441889.0,16558794.0,843442489.0,16558816.0,72752580.5,902969616.0,955984776.0,4.0
